Episode 247, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -1304
Episode 248, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -1020
Episode 249, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -487
Episode 250, Exploration Rate: 0.29, Win :False, Lose :True , Reward: -3312
Episode 251, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -4743
Episode 252, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -337
Episode 253, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -248
Episode 254, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -1084
Episode 255, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -882
Episode 256, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -772
Episode 257, Exploration Rate: 0.28, Win :False, Lose :True , Reward: -1586
Episode 258, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -2437
Episode 259, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -2892
Episode 260, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -4876
Episode 261, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -2149
Episode 262, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -4555
Episode 263, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -1264
Episode 264, Exploration Rate: 0.27, Win :False, Lose :True , Reward: -4321
Episode 265, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -3745
Episode 266, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -386
Episode 267, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -1090
Episode 268, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -4768
Episode 269, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -3198
Episode 270, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -348
Episode 271, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -1098
Episode 272, Exploration Rate: 0.26, Win :False, Lose :True , Reward: -6005
Episode 273, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -2479
Episode 274, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1065
Episode 275, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1251
Episode 276, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -3421
Episode 277, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1326
Episode 278, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1098
Episode 279, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1676
Episode 280, Exploration Rate: 0.25, Win :False, Lose :True , Reward: -1208
Episode 281, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -2116
Episode 282, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -853
Episode 283, Exploration Rate: 0.24, Win :False, Lose :True , Reward: -3594
