Episode 305, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -67
Episode 306, Exploration Rate: 0.22, Win :False, Lose :True , Reward: -124
Episode 307, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -185
Episode 308, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -185
Episode 309, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -241
Episode 310, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -156
Episode 311, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -155
Episode 312, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -154
Episode 313, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -266
Episode 314, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -183
Episode 315, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -229
Episode 316, Exploration Rate: 0.21, Win :False, Lose :True , Reward: -135
Episode 317, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -178
Episode 318, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -165
Episode 319, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -197
Episode 320, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -290
Episode 321, Exploration Rate: 0.20, Win :False, Lose :True , Reward: 6
Episode 322, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -261
Episode 323, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -114
Episode 324, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -206
Episode 325, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -252
Episode 326, Exploration Rate: 0.20, Win :False, Lose :True , Reward: -428
Episode 327, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -189
Episode 328, Exploration Rate: 0.19, Win :False, Lose :True , Reward: 30
Episode 329, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -83
Episode 330, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -87
Episode 331, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -110
Episode 332, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -197
Episode 333, Exploration Rate: 0.19, Win :False, Lose :True , Reward: 256
Episode 334, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -181
Episode 335, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -28
Episode 336, Exploration Rate: 0.19, Win :False, Lose :True , Reward: -154
Episode 337, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -81
Episode 338, Exploration Rate: 0.18, Win :False, Lose :True , Reward: 663
Episode 339, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -484
Episode 340, Exploration Rate: 0.18, Win :False, Lose :True , Reward: 218
Episode 341, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -45
Episode 342, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -104
Episode 343, Exploration Rate: 0.18, Win :False, Lose :True , Reward: 42
Episode 344, Exploration Rate: 0.18, Win :False, Lose :True , Reward: 168
Episode 345, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -281
Episode 346, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -176
Episode 347, Exploration Rate: 0.18, Win :False, Lose :True , Reward: -589
Episode 348, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -270
Episode 349, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -288
Episode 350, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -180
Episode 351, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -108
Episode 352, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -32
Episode 353, Exploration Rate: 0.17, Win :False, Lose :True , Reward: -124
Episode 354, Exploration Rate: 0.17, Win :False, Lose :True , Reward: 795
Episode 355, Exploration Rate: 0.17, Win :False, Lose :True , Reward: 138
